preco,taxa,km/l,km
9900,145,24,59224
10600,145,24,37111
10100,0,32,33474
6800,0,28,55329
8323,0,28,37723
9540,145,23,12344
10510,20,26,34955
8100,0,28,49894
10600,145,24,40523
14990,145,26,34971
13698,150,21,3629
8998,160,19,59739
9998,125,23,52247
12998,150,20,18631
13498,150,24,32761
8498,125,26,56348
9998,0,25,45646
11698,0,32,52395
11698,0,32,27999
10698,165,19,10340
17350,145,19,1809
17350,145,19,1714
16880,145,26,10461
13500,145,26,12244
10277,20,27,26038
9330,30,24,57943
14891,145,17,27253
18491,125,22,43983
14630,145,26,12070
8698,0,28,32649
11930,145,25,8801
11930,145,25,6585
6800,0,28,55971
18020,160,21,71171
11140,145,18,1862
11140,145,18,3219
11750,145,32,30235
24850,145,20,21118
22027,145,20,16475
18597,145,20,8420
15630,145,24,8489
14430,145,25,11866
15420,145,26,11739
16040,145,34,19714
14550,145,26,5055
14380,145,25,6119
14540,145,26,12263
14540,145,25,10828
21197,145,21,16235
17000,145,26,23904
26000,145,23,6679
29000,145,16,5504
17750,145,18,24406
12000,145,32,22791
12750,145,23,20418
32000,145,16,35
16500,145,25,8502
16000,145,23,9410
10498,0,28,43813
10400,30,27,37839
15995,145,21,16013
7700,125,23,46542
6800,125,23,64631
7960,30,24,40266
13490,145,25,21098
8900,30,25,15434
6600,125,23,46494
9760,0,28,35937
15440,145,26,16898
14490,145,25,8880
13070,145,25,21375
15460,145,26,5749
15440,145,26,9147
15470,145,26,13345
15510,145,26,11994
15420,145,26,14452
15080,145,34,20424
14594,145,34,29995
8498,145,20,40364
12498,30,27,40625
9298,0,28,23173
15998,145,18,38418
11698,145,29,23146
10498,145,23,131356
9998,125,22,37692
20998,145,18,25080
10298,150,24,16544
11498,20,26,19985
12491,145,21,1720
7481,0,28,52839
10591,150,26,36461
12691,125,25,43299
12697,150,20,31902
10291,150,25,12847
11591,150,24,12522
13791,145,23,24655
13491,145,27,38983
14481,145,26,13599
14000,145,25,20231
11000,145,28,22830
10000,145,26,43175
14500,145,24,7734
12000,150,32,50002
11000,0,32,34733
12500,145,24,14948
12500,30,24,20806
19991,150,23,38193
13491,150,27,12863
5700,165,19,98715
6787,160,19,36571
12347,145,24,13871
11000,145,26,16845
6791,160,19,31562
19991,205,20,48734
6991,0,28,82638
11387,145,28,34948
19000,125,24,41365
10500,0,25,27212
9495,0,28,23450
8400,0,32,69628
8495,145,20,8333
5988,20,30,73170
14747,20,29,37008
10120,145,28,13235
6190,20,29,75972
8430,160,19,46904
10137,0,33,36783
5991,30,25,24275
10500,0,28,11270
17500,30,27,20036
16000,145,21,3600
15000,145,23,48026
11000,20,29,19814
19500,145,20,30619
14000,145,25,19125
10500,20,29,12101
12250,145,32,23422
15500,145,21,1896
10550,145,20,16
7770,125,23,25918
7150,0,28,60170
10167,145,27,16161
17520,145,26,13
9990,160,19,27978
9130,0,28,31084
11640,145,25,21317
15991,145,27,20205
20891,145,21,4946
14791,145,26,19513
15291,145,32,21378
13991,145,26,17938
16110,145,32,25749
20170,145,26,161
13970,145,24,22531
7600,145,25,18422
19291,145,32,17447
17410,145,26,15289
11250,145,24,24990
8540,125,26,71039
9491,30,25,60831
13230,145,24,10409
16690,145,18,30724
7995,0,28,57960
11750,145,26,27431
6995,0,28,48602
8295,0,33,46896
10280,20,27,24332
11450,145,24,20870
8491,145,28,46932
8891,160,19,49880
9791,145,28,27233
17291,145,18,28281
17590,125,24,54241
20847,145,20,13721
16998,125,24,42865
14498,30,27,11618
8998,0,32,38779
10998,150,23,8166
14998,150,23,6742
10298,30,24,39234
11998,20,26,30346
16498,150,23,24728
16498,150,16,13156
10498,0,28,23900
12997,125,22,23162
9077,0,28,27426
12890,145,20,44830
9380,160,19,16555
9617,145,24,60453
7547,0,28,35919
15580,145,26,14484
19897,145,26,4814
12444,30,27,27748
9697,160,19,11951
8491,125,23,42256
18991,150,18,5084
6891,30,23,56032
8491,20,26,52323
10291,150,28,4047
9691,125,22,53131
14250,145,26,7490
14590,145,26,5267
14310,145,25,15810
14300,145,25,13132
11140,145,18,3541
9487,145,28,42969
16477,145,21,470
7591,20,27,53671
4670,30,25,68283
16190,145,18,26585
5260,30,26,92809
8991,145,38,37377
11491,145,23,30492
16291,145,23,51344
11000,150,26,28040
9455,20,26,29280
10908,145,27,35438
12591,125,26,36109
28995,145,13,7165
12500,145,26,7678
19000,145,27,7524
11000,145,28,15836
9000,20,29,46848
8800,125,23,28551
10000,145,28,26895
16498,145,18,22050
11498,150,24,2866
19498,150,18,33090
19998,150,12,16906
12298,145,32,35668
14498,20,29,56446
7998,165,19,34525
11995,145,28,43682
16698,145,18,28590
12300,125,26,64798
7140,30,25,55233
6150,0,28,95114
4640,0,28,128116
7600,160,19,51203
6990,145,25,29118
19431,160,21,48000
9297,30,25,46085
12387,145,20,27343
20847,145,20,16468
20447,145,20,13848
20847,145,20,11145
20847,145,20,3082
13000,165,19,37168
16500,150,17,16135
12500,150,25,43867
7500,0,28,55942
9998,240,17,82691
18998,160,21,67151
6998,125,26,60386
15698,20,29,39319
13998,145,25,16584
9498,145,23,93879
17500,145,18,42353
10700,145,28,52996
10700,145,28,50282
10400,0,32,39912
19800,145,19,13673
11000,145,27,11962
11000,145,28,24140
17500,145,26,26379
9800,145,23,23316
14800,145,25,22336
17400,145,20,9757
10995,150,38,32275
10995,145,28,21205
17995,150,32,18483
13155,125,26,66115
5999,30,23,42997
15500,145,26,24140
10000,145,28,51158
10000,145,19,27053
8400,30,25,18115
15000,145,25,10013
11500,145,28,32011
14900,145,19,7646
14600,145,23,29826
17700,145,26,26741
21000,145,21,483
19500,145,28,24
16300,145,26,8229
19000,145,18,23628
12200,145,26,22489
11200,145,28,19343
9900,30,24,25151
15900,145,26,25037
9400,145,27,17033
11900,145,28,16977
9400,145,27,15582
11800,145,28,25745
12400,145,26,24127
14900,20,29,39070
9400,145,25,4846
9400,145,25,7940
9400,145,25,10298
9400,145,25,7665
10200,145,24,12686
17900,145,20,21469
18900,145,25,161
18600,145,26,20836
17900,145,18,17036
16900,145,20,26271
15500,145,26,23343
10500,20,26,30716
9000,125,23,42303
11500,150,28,37995
11000,150,26,27312
10500,20,26,37818
9800,30,27,42472
10000,145,27,20307
14000,145,25,27282
9700,145,28,49003
15300,145,26,17925
18900,145,23,15184
28900,145,22,5916
10700,145,26,44632
12500,145,26,5855
9500,0,28,39036
15900,145,23,21382
10200,145,27,12023
12500,145,28,14648
11300,145,26,35203
14900,145,19,14170
19900,145,20,20194
11900,145,25,21523
13300,145,24,7001
20400,145,21,7025
11800,145,26,35528
7300,145,23,43843
13800,20,29,60099
16900,145,29,28542
16500,145,29,62064
17900,145,22,290
9900,145,27,15176
9900,145,27,13285
19400,145,20,15799
17300,145,20,14688
9900,145,27,16288
19400,145,20,11003
9800,145,27,18456
8700,20,29,44815
12600,145,26,17072
15900,145,25,6619
16200,145,21,13789
18900,145,21,15372
18500,145,29,23339
6698,160,19,52601
11990,150,20,31704
6990,0,28,50163
10200,145,24,6513
14500,145,25,10581
7200,125,23,32423
15400,145,26,11697
16900,145,26,14967
10500,145,28,13010
9900,125,22,49201
12800,150,27,3618
4591,30,25,64353
12491,145,22,86098
11291,145,28,19375
10991,145,24,31023
10491,145,28,34503
9495,0,28,40161
9495,20,27,29134
14795,145,25,24140
16495,145,26,25300
13995,145,25,10588
10795,20,26,30024
13995,145,38,46116
21995,145,20,8996
19995,145,17,5655
19995,145,26,20188
17900,145,15,10115
11300,145,24,13118
11300,145,24,11755
12900,145,22,23942
26900,145,22,14975
9800,0,33,40055
10800,150,25,10144
8400,0,28,25883
15900,145,17,12427
7438,30,23,31273
10228,145,25,36495
9000,0,28,10604
6491,0,33,83666
12900,145,28,14532
10600,145,24,14460
14600,145,26,13432
9800,0,28,26094
7900,145,23,21583
6200,30,24,75938
16600,145,34,8502
10600,145,27,16737
17900,145,20,20619
8500,145,23,19673
11500,150,28,5411
7600,165,19,44159
7500,0,25,54718
16500,150,19,22099
18500,150,25,9951
20000,150,15,5708
17300,125,26,17495
17000,150,19,7765
25500,145,17,7331
11000,125,26,92923
12291,145,25,3269
11111,125,26,61052
10300,0,32,37433
9270,145,38,94098
9250,0,32,88031
8470,30,28,119077
13495,145,21,10099
14995,145,23,29591
8995,145,27,32380
18495,145,20,13040
11995,200,19,77990
12995,125,26,48108
6795,0,28,68411
13995,150,26,34746
13995,150,23,15520
8495,0,32,96343
12998,150,29,5533
7998,145,23,33877
10998,0,28,3272
18998,145,18,37554
9860,145,32,76069
6350,0,32,127086
8330,145,20,36135
8498,145,23,34813
7998,0,32,111741
9999,0,33,47844
7999,145,27,38624
8495,125,22,58459
7872,0,28,43233
8890,0,28,47604
9250,0,28,21625
9920,20,27,47651
12780,145,20,30753
11220,150,25,38624
9995,20,27,34485
15995,145,26,11032
10498,145,32,52904
19498,145,18,33444
13998,145,25,15823
15298,145,21,16887
11498,0,28,20920
10698,150,24,8748
10998,20,29,89743
9998,0,33,52040
17000,145,26,45179
14450,145,27,34768
7800,145,25,4765
16999,145,26,17675
11000,145,26,29049
14750,145,27,36989
13100,160,19,9154
14200,145,27,59455
13000,150,21,2715
14000,150,25,8290
11698,20,29,31556
9999,150,23,72341
9799,150,22,104607
11000,145,28,11993
11999,145,28,33273
12500,160,19,39324
10500,160,19,11338
17000,145,29,20369
9000,145,33,62042
16200,145,29,31561
9500,145,28,32211
6670,145,20,62430
6990,125,23,42937
7950,0,28,27122
16050,145,26,40829
6950,125,23,43211
6000,30,23,44445
5650,30,23,72855
8600,0,28,30336
6500,30,23,26039
11330,145,28,4329
6495,20,29,86433
12795,145,22,83768
10695,20,26,29267
10495,145,28,24369
17495,145,29,13047
14295,145,25,8822
10295,145,28,21686
10695,145,24,15165
10495,145,18,12717
11999,145,28,21807
12499,145,25,29053
12699,145,27,10773
15499,145,26,16093
19999,145,17,14484
7499,0,28,53163
14749,145,29,24868
14990,145,32,23306
25990,145,16,21929
8290,0,28,47112
11495,145,20,32267
29500,145,13,16818
23649,145,16,25115
29499,145,22,14481
12699,145,20,40365
16999,200,18,42796
20499,145,18,7067
8299,0,28,41738
9499,125,23,20783
8699,145,20,47033
12499,145,25,14001
13499,145,25,18546
14799,145,24,10139
10999,20,26,39162
17499,145,26,14220
14499,145,24,11265
18999,145,26,6437
18999,145,21,12875
13650,145,20,21718
10999,145,27,34176
6999,30,24,70389
7499,0,28,73679
14499,145,21,12054
15499,125,26,12212
13499,145,27,32919
10999,145,28,14949
7499,0,28,67390
7699,0,28,88662
23499,150,18,16262
18999,145,16,14967
13499,145,28,13245
7869,145,20,88813
23499,145,21,2977
26723,145,15,3383
11350,20,29,108772
7699,0,28,79741
14999,145,27,19122
15799,145,25,12009
10499,145,28,19030
15717,145,20,19096
10285,145,28,20577
16938,145,26,7778
11110,145,28,29687
9967,20,27,21110
9946,20,27,22988
17503,145,18,36675
18947,145,18,15474
11704,145,32,22334
12999,145,20,43027
17999,125,26,21279
9999,145,27,64922
7320,0,28,49566
13499,145,25,26380
10499,145,28,27568
9499,145,38,44886
14999,145,17,25675
11499,145,28,18401
15999,145,23,79590
11499,145,28,27206
17999,145,17,10551
10892,145,28,23413
13999,150,25,26300
16499,150,17,12860
7999,0,28,34916
18499,145,18,21023
19995,145,14,4023
17995,235,19,54154
8999,145,27,38415
7999,0,28,100949
16499,145,23,10762
18999,160,22,56642
10773,145,28,6433
18999,145,26,24972
8966,0,28,19510
8954,145,27,56134
12999,145,20,52503
9615,145,22,31136
9499,145,27,20847
8407,145,20,22769
9460,0,28,38095
8240,20,27,53852
10390,145,27,37570
17500,145,20,20181
6260,0,32,53993
17050,145,17,19232
9567,20,29,51671
12399,145,20,23915
7999,30,25,19964
10999,150,26,28836
7299,150,25,23176
12499,150,32,42004
9599,30,27,121198
14999,145,22,9493
9999,145,27,40193
9999,30,27,124986
31991,145,9,46534
8499,0,33,45976
29495,145,27,22511
13170,145,23,16972
15549,145,26,22186
8999,145,22,64520
14999,145,26,32187
8919,125,23,16109
9599,145,28,24140
8999,145,23,18916
12539,145,23,31471
11139,145,28,26944
10319,145,19,18696
12139,145,27,17806
10695,30,27,14539
11169,145,28,14914
12429,145,27,13692
9899,145,23,3808
10499,145,23,38009
9432,20,26,61673
10499,145,27,38371
9429,145,28,38663
13599,145,23,24140
6999,145,25,28968
7147,125,23,19248
9520,30,25,26491
8100,0,32,95772
9700,145,25,37610
19150,125,22,37932
7210,0,33,128264
11690,145,27,18427
13650,145,23,7509
11360,145,28,27890
16399,145,17,18507
10445,145,28,16093
9545,145,28,19312
10799,145,25,19312
11091,145,28,28122
10899,145,28,22531
8999,145,23,16093
10739,145,27,26828
9190,150,18,19296
8591,145,27,31052
9910,20,26,52007
10590,145,28,42364
13549,20,29,68110
19494,145,18,13242
11399,145,28,18894
10719,145,26,32011
9539,20,26,21084
16569,145,26,4551
9659,20,26,36833
16629,145,26,5753
6819,0,28,61659
10500,145,28,17774
13000,150,32,26514
8100,125,23,50496
14739,145,25,22508
14299,30,27,37654
12532,145,28,8190
7200,125,23,40829
15877,200,18,21565
5750,30,23,64148
16201,125,24,59026
10250,0,28,43076
6990,0,28,66776
12499,30,27,44435
8499,0,28,55862
9523,145,27,33518
9590,20,26,58487
15995,145,26,8295
15995,145,26,8295
9590,20,26,58487
9523,145,27,33518
8500,150,28,61379
9300,150,26,59042
8700,125,23,33579
10500,0,28,24616
9000,0,28,37351
19600,145,21,30621
8700,30,24,51827
12700,145,25,25275
11500,150,22,52561
9700,150,27,20767
15500,150,29,39606
14000,150,27,57209
11000,20,26,16541
7200,0,28,37971
11000,150,27,48206
12199,145,28,13292
12679,145,28,5778
14719,145,26,35747
8629,20,26,62317
11299,145,27,35766
16499,145,22,13052
11899,145,26,7495
6120,145,20,104543
9830,145,26,42390
7770,0,28,38743
7600,145,23,23545
7000,0,28,60592
11370,145,32,22676
7930,0,28,62764
15000,145,25,25883
9995,145,24,28080
12995,145,25,18490
10995,145,25,19296
8495,30,24,40779
13710,145,25,41236
8500,0,32,81441
11699,145,28,9923
11989,145,26,14626
17994,145,18,27360
10999,145,28,22925
13084,145,28,9143
25799,145,21,6230
14999,145,26,5753
8864,30,27,56969
13299,145,25,16093
13499,145,25,9069
16995,145,34,16526
11995,145,25,19122
10295,0,25,13691
16795,145,24,1411
11795,145,27,21959
14995,150,27,41999
6995,30,25,50649
14995,30,27,22626
9495,145,28,16715
9200,0,28,36435
10620,145,28,21308
9480,0,28,42543
23380,145,21,7123
10420,145,32,62827
10550,125,25,113827
18750,145,22,8452
19400,145,18,14441
11360,145,32,44999
11000,145,24,52585
11160,145,24,32785
10595,145,28,32357
13495,145,25,16633
15995,145,26,14973
11795,125,22,37935
9295,145,20,9222
21495,145,21,57103
14450,145,16,21646
18787,145,18,24887
13000,145,32,18651
12250,145,26,29190
14260,145,25,18179
14480,145,25,19156
14310,145,25,21726
15880,145,34,12765
11660,145,26,75631
11250,145,24,35687
5810,30,23,96332
8680,145,28,66773
21790,145,16,18615
16610,145,24,11471
19890,145,20,13679
19460,145,20,22289
19450,145,20,22547
17500,145,20,46602
19560,145,20,17748
11840,145,25,11682
18680,145,32,14323
16500,145,34,1625
12400,145,26,8599
15800,145,29,33589
17620,145,19,193
7700,0,28,62478
8800,145,28,32551
7510,125,23,33962
12390,145,25,6437
11450,145,24,23137
14310,125,24,84033
11990,145,20,44978
8810,0,25,38396
10200,0,32,21274
11250,0,25,38330
12590,0,32,23300
10230,20,27,45316
14995,145,25,24
14995,145,24,24
13995,145,28,11203
14995,145,25,24
15995,145,25,24
14995,145,25,24
25950,145,15,26
15995,145,24,16093
8695,0,28,52056
15995,145,29,30692
20700,145,17,20118
14020,145,26,29311
15950,145,34,15405
15320,145,26,14064
16990,145,21,6059
9191,20,29,60708
16767,145,29,22857
17690,145,22,18897
7520,145,25,31089
18800,145,20,14222
17995,125,24,45525
7997,30,24,68867
7771,145,20,45605
7997,125,23,33796
8397,0,28,47476
10494,145,20,38664
10500,125,22,31382
7697,0,28,58097
8997,0,25,45062
18992,260,15,26393
10020,20,27,24354
10497,145,23,69311
9230,125,23,6788
8691,30,27,93520
16065,125,26,17843
10270,20,29,65547
7080,30,24,57742
8725,125,26,118296
6592,0,33,104210
6982,0,28,57690
8800,150,27,33832
10490,20,26,24771
6990,0,28,63107
16980,200,18,39091
14920,145,25,8647
10370,145,24,34717
10240,145,26,52305
8130,20,29,66356
10460,145,28,42435
11890,145,23,47762
9997,145,20,14484
7669,145,20,34923
7767,145,20,32187
7777,30,23,12777
9881,145,20,28340
10333,20,27,25428
7969,125,23,7644
11494,145,20,31776
9839,20,27,18857
9292,20,27,31141
8990,150,20,108367
15300,125,26,43864
14990,150,26,50852
10390,150,27,8694
6190,30,25,22093
8995,125,22,64322
17995,200,20,55825
14995,145,26,9806
9950,20,27,26966
8495,145,25,23561
15575,125,26,31855
10480,0,32,49127
14545,125,26,52807
13500,145,25,13090
14990,160,19,52653
15300,125,26,39392
6830,145,25,26083
13320,30,27,47632
10510,20,27,19249
7020,30,23,26495
16991,145,27,25679
10790,145,28,42417
17500,145,29,33605
14690,145,23,7004
6990,145,25,24900
11790,145,32,21306
14290,145,27,37729
8500,145,27,62409
11790,145,23,50656
15290,150,25,11497
14290,150,28,21345
33591,150,16,2474
11200,145,28,19307
9790,150,28,21195
15000,150,27,27550
12990,150,25,32871
15990,150,20,27528
10790,150,28,19190
14990,150,28,14315
5790,125,23,76091
10690,145,26,27541
6690,20,26,122657
7990,20,26,46624
25990,145,23,20225
8990,145,27,15475
9700,145,28,13414
18765,145,18,27422
18500,145,18,20139
8200,0,32,37018
10990,145,28,39709
11490,30,24,7842
12290,150,26,12983
6790,30,24,82625
12990,150,32,21678
18500,150,23,9313
9790,125,22,27265
7790,0,28,87714
9790,150,27,15409
6490,30,23,47648
11800,145,26,20311
9690,145,27,17006
16500,145,23,44503
11500,145,28,8859
18500,145,18,27310
10901,145,28,20744
8490,150,27,39899
17990,145,18,12101
20990,145,23,19899
15290,145,23,42717
9990,0,32,52493
17990,150,26,8526
11990,150,26,38487
9500,150,28,38645
15790,150,18,74490
11990,150,26,20851
9990,150,27,17205
13190,150,22,36670
11690,150,25,21
7790,0,28,56576
9700,145,27,14112
12000,145,28,12488
11290,145,28,21863
13790,145,23,8013
11690,145,28,19516
18591,145,21,3767
8500,30,24,38302
12990,145,26,18966
15500,145,23,11764
11690,145,28,13126
17500,145,26,4680
30000,145,18,1003
28000,145,23,11909
17200,145,26,9638
15500,145,26,12076
11500,145,28,50726
17500,145,21,18042
12000,145,28,29942
19500,145,23,7397
10500,145,25,40824
12000,145,26,24007
10000,145,28,22033
11500,145,25,4392
8400,125,23,45062
10800,145,28,24713
10500,145,25,13459
10000,145,28,25238
13700,145,25,20416
7000,30,27,118903
10500,125,26,64399
11500,145,28,22241
17000,20,29,28093
10500,145,27,9724
17900,145,24,60207
15500,150,26,21308
7200,30,25,59407
7500,125,23,38074
10499,145,28,17933
11695,150,28,20719
6500,150,23,98289
10500,150,26,34952
6700,30,23,84254
24000,150,20,15147
16500,150,26,48586
18200,150,23,24478
10200,150,26,47966
10800,145,28,30824
10200,145,28,37663
15500,145,22,15289
8990,150,27,24367
18500,145,15,14344
9500,145,27,30462
15000,145,26,25617
18200,150,17,35293
10000,160,19,43555
19000,145,18,19521
12000,145,32,32259
11500,20,27,25049
9200,150,36,73225
6800,125,23,31839
11175,145,28,10855
6990,160,19,37853
19272,150,23,29728
11795,145,25,49188
12750,235,17,53433
20490,200,20,32719
9795,0,28,24140
10795,145,28,20921
10795,30,24,16898
10295,150,27,12875
10699,145,25,15926
9377,125,22,43090
13100,145,27,13549
10800,145,27,8224
12700,145,28,23142
11600,145,28,20657
16300,145,26,25561
10975,145,23,37255
18000,145,24,59682
10600,145,28,53237
12000,0,25,24005
16000,145,29,2446
18000,145,24,2886
15299,145,21,19819
16000,145,24,5724
16499,145,21,22093
19000,145,18,20695
15299,145,26,15678
16000,145,25,16517
16000,145,25,20442
11995,145,26,24140
17000,145,25,19167
25000,145,18,7545
24499,145,22,13420
14000,145,24,6259
15000,145,25,16074
19000,145,25,25181
11499,30,27,50376
16000,145,25,15609
23499,145,24,7649
19000,145,26,28165
24999,150,20,43798
19499,145,23,39102
17000,145,26,16029
17000,145,26,7810
13495,145,23,19074
18700,205,20,34562
8750,20,26,63659
18400,150,23,15979
10308,145,28,51494
16470,145,26,14618
18299,145,26,1176
10499,145,20,7875
11000,145,20,7218
11000,145,20,2647
11299,145,20,5535
8000,145,25,16229
19000,145,22,6960
11000,20,26,17672
12499,145,27,6883
12499,145,26,16538
14000,145,21,2227
14000,145,21,2509
14000,145,21,1426
20000,145,18,22299
15000,145,23,16977
8000,145,25,7644
7799,145,25,13147
8000,145,25,8010
23000,145,21,584
9799,0,28,37557
16999,145,34,12118
14000,145,25,6978
17000,145,27,2805
15000,145,34,9402
17000,145,23,25033
10000,145,28,46621
7499,0,28,28246
10699,145,18,4213
9200,0,28,11895
15000,145,25,1666
10700,145,27,5592
16000,145,25,13398
10000,145,20,9408
14000,145,21,2348
8070,30,23,21443
9710,20,27,34301
4995,20,29,119115
5420,30,25,20614
12030,145,25,30207
11414,20,29,32969
5800,0,33,114585
7795,0,28,75464
15995,160,21,117609
14995,145,23,9344
12600,145,32,37279
12750,145,28,11307
12600,145,28,15569
10500,145,28,25226
19500,145,28,37
19500,145,28,53
7495,0,28,51410
9950,0,33,33965
8250,0,28,38978
14995,145,25,82
13495,145,25,9656
23995,145,20,644
16995,145,23,9656
7245,30,24,74850
18995,125,24,19071
9695,145,18,16158
13495,145,28,18338
8995,145,28,55815
8795,145,28,40967
11000,20,26,44305
8799,125,23,29576
15699,145,27,16093
11000,145,28,12046
10000,20,27,28052
8995,145,20,16
9495,145,20,10099
13995,145,24,11877
7495,30,25,47982
16495,145,17,10018
13995,145,25,15643
23995,145,17,4828
13495,145,25,1127
5495,30,25,35856
11500,145,28,17788
16200,145,21,19735
16073,145,26,20632
15800,145,25,15094
14995,145,26,10187
11995,145,23,9205
15995,145,25,7781
25950,145,15,40
16995,145,26,32
11018,145,28,56227
11900,0,32,18627
12000,145,26,27721
9000,145,23,30149
10300,145,27,14967
10600,145,28,35019
9980,150,20,46867
10380,0,28,20675
9980,145,32,48163
9533,0,25,28094
8290,145,25,19201
10699,145,22,12188
6999,20,27,96662
9499,145,28,39471
10290,145,27,6550
7495,0,32,48023
17995,145,26,20913
14995,145,24,19
16495,145,22,9889
18995,145,25,8047
14995,145,25,15932
12995,145,25,9230
14995,145,26,19433
11900,145,28,48201
18100,145,27,7084
9500,145,28,35782
14600,145,25,18245
10500,145,28,51756
10700,150,24,10514
12700,150,22,25891
16200,150,17,18755
13100,150,23,5401
6700,20,29,76877
16200,150,26,24797
10100,30,27,25391
6795,20,29,111925
10699,150,20,66300
7995,150,25,12553
18995,150,17,80
6695,30,25,38624
7402,30,27,40132
6999,30,25,35071
11995,145,22,26026
6991,125,23,25700
7695,145,25,10248
7980,20,27,67665
9995,150,20,6679
25995,150,14,8047
9277,145,28,45535
18481,145,18,34145
7890,0,32,76162
13820,145,25,23875
16277,145,26,10472
16100,150,26,12133
11600,150,26,42609
9600,150,27,17764
12800,150,26,11177
14900,150,28,25254
14500,150,23,6040
9700,150,23,33611
11500,30,23,48089
10500,150,28,21462
9300,0,28,26707
11400,145,28,16436
10900,145,27,8917
16900,145,22,8118
8900,0,28,46027
15300,150,25,11101
9200,150,28,45593
14600,150,23,5467
17300,145,26,18894
9700,145,27,17405
14900,145,26,34470
17100,145,19,22278
10700,145,27,15409
16500,145,26,22568
7000,0,28,72459
10500,150,24,36450
11000,145,24,9275
11300,145,28,53577
10000,145,28,55608
22000,145,28,16
17500,160,21,78190
22500,145,21,779
11200,145,28,30848
15500,145,22,8356
12500,145,20,42316
7000,30,23,57915
11750,150,28,12173
6000,150,20,93955
9500,150,28,29519
12500,145,28,20921
10500,150,28,34821
10250,150,26,31905
11500,150,28,33082
21000,145,28,40
17800,145,25,16
9800,125,23,18290
20500,145,28,43
20500,145,28,39
20500,145,28,24
20800,145,21,333
9600,145,27,24784
16200,145,25,11909
12500,145,28,23949
11200,145,25,28921
11800,145,25,12070
10500,145,27,14428
9200,125,23,28699
9999,145,28,34902
6977,145,25,53816
11978,145,23,103793
7250,0,32,106448
7000,145,20,53108
22000,145,28,16
22000,145,28,16
16200,145,25,13142
9700,145,27,10142
22000,145,28,76
22000,145,28,16
14250,145,25,21782
7300,0,28,100111
11000,145,27,29763
10000,145,27,29808
10000,0,28,32074
11250,145,26,32684
14250,145,21,41618
14500,145,23,21855
18500,145,26,7108
17500,145,25,7170
14600,145,34,11457
9500,0,32,37478
20400,145,20,3212
16500,145,26,8183
17500,145,16,29380
19200,125,24,64705
10600,145,28,52896
9500,145,20,23994
9400,0,32,21707
11186,145,28,51018
19500,145,28,24
19500,145,28,37
9750,30,27,62809
9000,0,28,37539
9500,20,27,45914
11250,145,25,27476
14750,145,25,20355
14500,145,23,11959
11600,150,26,2623
17700,150,24,37184
13000,150,28,24792
17000,145,25,17889
21000,150,12,14318
9600,150,23,65352
15750,145,23,35209
19750,150,20,56327
7290,145,20,96543
17500,145,26,5377
17000,145,23,11687
9750,20,26,63144
8800,0,28,45583
9000,160,19,76209
11000,160,19,23595
10000,0,33,61776
10500,125,23,28812
8500,145,25,5710
10500,145,27,13251
7200,30,23,59663
6800,30,23,70187
9500,150,23,21995
16000,150,23,20423
6400,0,28,47810
18499,145,18,31961
29499,145,22,14481
7299,0,28,81119
5999,30,25,44584
11299,145,28,36629
8999,125,22,79180
7499,0,28,53163
16299,145,23,2414
18999,145,26,3058
12250,145,25,18266
20000,145,28,24
20000,145,28,26
20000,145,28,11
8750,0,28,41363
19500,145,28,85
19500,145,28,51
9250,145,27,95881
9000,0,32,90717
20000,145,23,14024
21000,145,23,2755
16995,145,26,26152
15295,145,25,11581
9995,0,28,9341
23495,145,15,14484
13695,145,25,25637
11295,145,26,25125
14695,145,23,17696
14295,145,23,27858
10295,0,28,28419
9695,20,26,57104
10995,30,27,23801
9895,160,19,48256
10995,125,22,43980
10495,145,23,33284
8995,145,20,10161
9000,150,27,34065
8500,150,25,14476
11250,160,19,14214
12500,145,28,7253
21000,145,27,84
12895,145,25,33523
18495,145,18,26453
7695,125,23,43671
14995,150,25,13198
15795,150,26,27711
10495,145,20,55699
14995,145,23,64592
15795,145,25,13338
14295,145,24,22338
19499,145,32,14484
10799,145,28,17381
14499,145,24,10139
15499,145,21,5311
15699,145,25,9656
13999,145,25,22048
15250,145,23,26232
15499,145,26,17703
12499,145,26,4265
10995,20,27,15321
15695,145,25,18227
12995,145,27,59076
12495,145,28,28440
14795,145,24,11275
11295,145,28,15623
9995,145,32,48427
10495,145,32,47669
23995,145,24,16979
17995,145,26,5230
10295,145,28,40332
26995,145,20,13893
11495,145,28,31516
7995,30,25,28480
11495,30,24,41938
14495,145,23,8208
8995,145,28,18258
10795,145,28,21782
11295,145,26,21621
14495,145,34,29622
15995,160,19,19159
10295,145,26,54631
21600,145,12,4010
19500,150,23,31482
5991,30,24,83874
8292,125,22,105380
6990,0,28,56327
6295,0,36,75312
7995,0,32,82426
15625,150,19,10939
17500,150,17,12513
16500,150,22,4912
10000,150,32,40155
7000,0,28,68075
13900,150,24,18998
9600,150,28,35674
20000,150,23,35932
11500,150,28,17703
12000,150,24,19636
31995,145,16,14117
10295,145,24,26485
25995,145,13,15928
7795,0,28,49312
14495,145,23,10012
13495,145,25,8591
14995,145,25,14708
9495,20,26,36112
12495,145,24,18216
16495,145,26,48287
12995,145,27,20115
9495,125,23,31400
7995,30,27,90036
15800,150,29,62074
15500,150,25,3962
15750,150,18,59513
15800,150,24,60350
